Open,High,Low,Close,Adj Close,Volume
58000,58900,57800,58300,58237.38672,1047114
57200,57500,56000,57200,57138.57031,2288474
57500,58200,57100,57700,57638.03125,1821528
57800,58700,57300,57500,57438.24609,1412568
57100,57300,56300,56500,56439.32031,1364811
56400,57100,56000,56000,55939.85938,1190339
56200,57200,55600,56600,56539.21484,1236080
56500,57000,56100,56800,56739,879909
56700,57400,56000,56100,56039.75,922948
55900,58800,55600,57700,57638.03125,2035175
58200,58400,56800,57200,57138.57031,1112295
57400,58200,57200,57900,57837.81641,1375866
57900,58100,57600,57900,57837.81641,985462
58100,58200,57600,58000,57937.71094,1015317
57500,57600,56700,56800,56739,1258754
56600,57000,56300,56700,56639.10547,1177829
56400,57000,56400,56600,56539.21484,709988
57000,57100,56400,56800,56739,1155964
56500,56900,56100,56200,56139.64453,1992398
56300,56600,56000,56100,56039.75,1004709
56300,57500,56000,57200,57138.57031,1677624
57600,57900,57000,57100,57038.67578,1035494
57700,58000,57300,57400,57338.35547,1012086
57000,57000,56300,56500,56439.32031,1734613
56800,57200,56300,56400,56339.42969,1732451
56900,57200,56400,56600,56539.21484,867990
57000,57100,56200,56400,56339.42969,1101921
56400,56600,55300,55700,55640.17969,2051297
55700,56100,53700,53900,53842.11328,2719928
54300,54600,53400,53600,53542.4375,1745708
53400,53400,52000,52500,52443.61719,2131119
52400,52900,51500,51700,51644.47656,1767021
51700,52000,50300,50500,50445.76563,2027881
50200,51100,50100,50300,50245.98047,1336297
50200,50500,49550,49700,49646.625,1755166
49000,50300,48600,50000,49946.30078,1872956
50000,50100,49350,49350,49297,1333727
49700,49750,48500,49000,48947.375,1659730
49000,49800,48700,49000,48947.375,1287518
48850,49700,48400,49100,49047.26953,1268925
49300,51000,49300,51000,50945.22656,1691513
50900,51000,49900,49950,49896.35547,1445459
49950,50400,48800,48850,48797.53906,2700066
48850,51500,48700,50900,50845.33594,3139685
50600,51200,49750,49850,49796.46484,1974639
49850,50300,49450,49850,49796.46484,1068139
50100,51000,50000,50700,50645.55078,1212718
50700,51800,50200,51600,51544.58203,1658795
52000,52600,51700,51900,51844.26172,1955527
52300,52800,51600,52800,52743.29688,1900674
52400,53200,52200,52700,52643.40234,1411212
52700,52700,51400,51800,51744.36719,1486148
51800,51800,50100,50400,50345.87109,1674191
50100,51100,50100,50500,50445.76563,1150775
50000,50800,49750,50600,50545.65625,1203404
50100,50300,49400,49850,49796.46484,1943708
49600,49800,48800,48850,48797.53906,1788062
48800,48800,46650,47800,47748.66406,3798977
47500,50600,47500,50600,50545.65625,2861543
50200,51400,49600,50600,50545.65625,1539813
50900,51800,50000,51300,51244.90625,2204300
51800,55300,51800,54900,54841.03906,7074120
55100,55100,52300,53200,53142.86719,2936126
52800,53800,52300,53300,53242.75781,2146867
53800,55000,51000,51800,51744.36719,3173204
51700,54000,51200,52700,52643.40234,2755342
53500,53600,51800,51800,51744.36719,1512333
52100,53200,52100,52800,52743.29688,1095062
52300,53100,51900,52600,52543.51172,1645198
51400,52500,50600,51600,51544.58203,1591602
51700,52000,50600,50700,50645.55078,1062345
50300,51100,49850,50300,50245.98047,1125125
50000,50100,49150,49250,49197.10938,1640558
48650,49300,48200,48450,48397.96875,1384622
48500,49450,48250,48400,48348.01953,1010367
48550,49400,48400,48650,48597.75391,1131155
48700,49700,48450,48900,48847.48438,1344907
49450,50100,48900,49100,49047.26953,1735760
48000,48550,47600,48100,48048.34375,1330506
48550,48650,47800,48000,47948.44922,974367
48000,48700,48000,48600,48547.80469,864728
49150,49400,48750,49000,48947.375,888093
49000,49100,48100,48100,48048.34375,1699582
47950,49300,47950,48950,48897.42969,1371351
48900,49450,48400,49100,49047.26953,1020561
49100,49350,48850,48900,48847.48438,676829
49000,49200,48500,49050,48997.32422,830228
48700,49600,48600,48750,48697.64453,925935
48650,48750,48000,48250,48198.17969,1116295
48250,48350,47900,48250,48198.17969,1017094
48200,48750,48150,48400,48348.01953,1383694
48100,48150,47300,47800,47748.66406,1898035
47850,48300,47450,48300,48248.12891,1687973
48100,48900,48100,48850,48797.53906,1695681
48550,49200,48450,48600,48547.80469,876697
48600,48700,47800,47850,47798.60938,991657
47850,47950,47050,47100,47049.41797,1245851
46800,47150,45600,45650,45600.97266,2463267
45100,45650,44800,45050,45001.61719,1395423
